"PartID","Description","Category","Value","Symbol","Footprint","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Package","Resistance","Power","Tolerance","Stock","Datasheet"
"C25804","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0603","LCSC","C25804","UNI-ROYAL(Uniroyal Elec)","0603WAF1002T5E","C0603","10kΩ","100mW","±1%","59401300","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1002T5E_C25804.pdf"
"C23162","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 4.7kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","4K7","symbol:R0402","footprint:R0603","LCSC","C23162","UNI-ROYAL(Uniroyal Elec)","0603WAF4701T5E","C0603","4.7kΩ","100mW","±1%","19072100","https://datasheet.lcsc.com/lcsc/2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF4701T5E_C23162.pdf"
"C25585","100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 1kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","1K","symbol:R0402","footprint:R0603","LCSC","C25585","UNI-ROYAL(Uniroyal Elec)","0603WAJ0102T5E","C0603","1kΩ","100mW","±5%","11294100","https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0603WAJ0102T5E_C25585.pdf"
"C21189","100mW Thick Film Resistors 75V ±1% 0Ω 0603  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R0603","LCSC","C21189","UNI-ROYAL(Uniroyal Elec)","0603WAF0000T5E","C0603","0Ω","100mW","±1%","9902200","https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF0000T5E_C21189.pdf"
"C21190","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","1K","symbol:R0402","footprint:R0603","LCSC","C21190","UNI-ROYAL(Uniroyal Elec)","0603WAF1001T5E","C0603","1kΩ","100mW","±1%","9274200","https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1001T5E_C21190.pdf"
"C22548","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 1kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","1K","symbol:R0402","footprint:R0603","LCSC","C22548","YAGEO","RC0603FR-071KL","C0603","1kΩ","100mW","±1%","8258119","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0603FR-071KL_C22548.pdf"
"C98220","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0603","LCSC","C98220","YAGEO","RC0603FR-0710KL","C0603","10kΩ","100mW","±1%","5039748","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0603FR-0710KL_C98220.pdf"
"C22975","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 2kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","2K","symbol:R0402","footprint:R0603","LCSC","C22975","UNI-ROYAL(Uniroyal Elec)","0603WAF2001T5E","C0603","2kΩ","100mW","±1%","4387400","https://datasheet.lcsc.com/lcsc/2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF2001T5E_C22975.pdf"
"C15401","100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 10kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0603","LCSC","C15401","UNI-ROYAL(Uniroyal Elec)","0603WAJ0103T5E","C0603","10kΩ","100mW","±5%","4305700","https://datasheet.lcsc.com/lcsc/2206010216_UNI-ROYAL-Uniroyal-Elec-0603WAJ0103T5E_C15401.pdf"
"C25201","100mW Thick Film Resistors 75V ±100ppm/℃ ±5% 100Ω 0603  Chip Resistor - Surface Mount ROHS","Resistor","100R","symbol:R0402","footprint:R0603","LCSC","C25201","UNI-ROYAL(Uniroyal Elec)","0603WAJ0101T5E","C0603","100Ω","100mW","±5%","3851100","https://datasheet.lcsc.com/lcsc/2205311845_UNI-ROYAL-Uniroyal-Elec-0603WAJ0101T5E_C25201.pdf"
"C22775","100mW Thick Film Resistors 75V ±1% ±200ppm/℃ 100Ω 0603  Chip Resistor - Surface Mount ROHS","Resistor","100R","symbol:R0402","footprint:R0603","LCSC","C22775","UNI-ROYAL(Uniroyal Elec)","0603WAF1000T5E","C0603","100Ω","100mW","±1%","3478400","https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF1000T5E_C22775.pdf"
"C22859","100mW Thick Film Resistors 75V ±1% ±400ppm/℃ 10Ω 0603  Chip Resistor - Surface Mount ROHS","Resistor","10R","symbol:R0402","footprint:R0603","LCSC","C22859","UNI-ROYAL(Uniroyal Elec)","0603WAF100JT5E","C0603","10Ω","100mW","±1%","3422000","https://datasheet.lcsc.com/lcsc/2206010130_UNI-ROYAL-Uniroyal-Elec-0603WAF100JT5E_C22859.pdf"
"C25803","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 100kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","100K","symbol:R0402","footprint:R0603","LCSC","C25803","UNI-ROYAL(Uniroyal Elec)","0603WAF1003T5E","C0603","100kΩ","100mW","±1%","3136103","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF1003T5E_C25803.pdf"
"C23179","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 470Ω 0603  Chip Resistor - Surface Mount ROHS","Resistor","470R","symbol:R0402","footprint:R0603","LCSC","C23179","UNI-ROYAL(Uniroyal Elec)","0603WAF4700T5E","C0603","470Ω","100mW","±1%","2950400","https://datasheet.lcsc.com/lcsc/2206010116_UNI-ROYAL-Uniroyal-Elec-0603WAF4700T5E_C23179.pdf"
"C99782","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 4.7kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","4K7","symbol:R0402","footprint:R0603","LCSC","C99782","YAGEO","RC0603FR-074K7L","C0603","4.7kΩ","100mW","±1%","2876530","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0603FR-074K7L_C99782.pdf"
"C23345","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 22Ω 0603  Chip Resistor - Surface Mount ROHS","Resistor","22R","symbol:R0402","footprint:R0603","LCSC","C23345","UNI-ROYAL(Uniroyal Elec)","0603WAF220JT5E","C0603","22Ω","100mW","±1%","2718200","https://datasheet.lcsc.com/lcsc/2206010100_UNI-ROYAL-Uniroyal-Elec-0603WAF220JT5E_C23345.pdf"
"C95177","100mW Thick Film Resistors 75V ±5% 0Ω 0603  Chip Resistor - Surface Mount ROHS","Resistor","0R","symbol:R0402","footprint:R0603","LCSC","C95177","YAGEO","RC0603JR-070RL","C0603","0Ω","100mW","±5%","2603900","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0603JR-070RL_C95177.pdf"
"C25819","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 47kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","47K","symbol:R0402","footprint:R0603","LCSC","C25819","UNI-ROYAL(Uniroyal Elec)","0603WAF4702T5E","C0603","47kΩ","100mW","±1%","2599000","https://datasheet.lcsc.com/lcsc/2206010045_UNI-ROYAL-Uniroyal-Elec-0603WAF4702T5E_C25819.pdf"
"C14675","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 100kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","100K","symbol:R0402","footprint:R0603","LCSC","C14675","YAGEO","RC0603FR-07100KL","C0603","100kΩ","100mW","±1%","2408564","https://datasheet.lcsc.com/lcsc/1809281124_YAGEO-RC0603FR-07100KL_C14675.pdf"
"C4190","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 2.2kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","2K2","symbol:R0402","footprint:R0603","LCSC","C4190","UNI-ROYAL(Uniroyal Elec)","0603WAF2201T5E","C0603","2.2kΩ","100mW","±1%","2298800","https://datasheet.lcsc.com/lcsc/2206010230_UNI-ROYAL-Uniroyal-Elec-0603WAF2201T5E_C4190.pdf"
"C4184","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 20kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","20K","symbol:R0402","footprint:R0603","LCSC","C4184","UNI-ROYAL(Uniroyal Elec)","0603WAF2002T5E","C0603","20kΩ","100mW","±1%","2213600","https://datasheet.lcsc.com/lcsc/2206010230_UNI-ROYAL-Uniroyal-Elec-0603WAF2002T5E_C4184.pdf"
"C116677","100mW Thick Film Resistors 75V ±100ppm/℃ ±1% 10kΩ 0603  Chip Resistor - Surface Mount ROHS","Resistor","10K","symbol:R0402","footprint:R0603","LCSC","C116677","YAGEO","AC0603FR-0710KL","C0603","10kΩ","100mW","±1%","2141600","https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-AC0603FR-0710KL_C116677.pdf"
